n,k,"Wn,k1","Wn,k2","Wn,k3","Wn,k4","Wn,k5","Wn,k6","Wn,k7","Wn,k8","Wn,k9","Wn,k10","Wn,k11","Wn,k12","Wn,k13","Wn,k14","Wn,k15","Wn,k16","Wn,k17","Wn,k18","Wn,k19","Wn,k20","Wn,k21","Wn,k22","Wn,k23","Wn,k24","Wn,k25","Wn,k26","Wn,k27","Wn,k28","Wn,k29","Wn,k30","Wn,k31","Wn,k32","Wn,k33","Wn,k34","Wn,k35","Wn,k36","Wn,k37","Wn,k38","Wn,k39","Wn,k40","Wn,k41","Wn,k42","Wn,k43","Wn,k44","Wn,k45","Wn,k46","Wn,k47","Wn,k48","Wn,k49","Wn,k50","Wn,k51","Wn,k52","Wn,k53","Wn,k54","Wn,k55","Wn,k56","Wn,k57","Wn,k58","Wn,k59","Wn,k60","Wn,k61","Wn,k62","Wn,k63","Wn,k64","Wn,k65","Wn,k66","Wn,k67","Wn,k68","Wn,k69","Wn,k70","Wn,k71","Wn,k72","Wn,k73","Wn,k74","Wn,k75","Wn,k76","Wn,k77","Wn,k78","Wn,k79","Wn,k80","Wn,k81","Wn,k82","Wn,k83","Wn,k84","Wn,k85","Wn,k86","Wn,k87","Wn,k88","Wn,k89","Wn,k90","Wn,k91","Wn,k92","Wn,k93","Wn,k94","Wn,k95","Wn,k96","Wn,k97","Wn,k98","Wn,k99","Wn,k100"
57,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2058E+13,-8.68533E+14,1.67576E+16,-2.11021E+17,1.94917E+18,-1.4073E+19,8.2651E+19,-4.05741E+20,1.69794E+21,-6.14717E+21,1.94742E+22,-5.44734E+22,1.35511E+23,-3.01549E+23,6.03098E+23,-1.08826E+24,1.77719E+24,-2.63312E+24,3.54629E+24,-4.34778E+24,4.85709E+24,-4.94703E+24,4.59454E+24,-3.89012E+24,3.00071E+24,-2.1065E+24,1.34373E+24,-7.77327E+23,4.06741E+23,-1.91895E+23,8.13066E+22,-3.07893E+22,1.03586E+22,-3.07359E+21,7.96992E+20,-1.78526E+20,3.40328E+19,-5.4127E+18,6.98759E+17,-7.03405E+16,5.17962E+15,-2.48152E+14,5.80473E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79022E+13,-2.23434E+15,4.22043E+16,-5.19779E+17,4.691E+18,-3.30604E+19,1.89346E+20,-9.05568E+20,3.6883E+21,-1.29828E+22,3.99472E+22,-1.08409E+23,2.61343E+23,-5.62892E+23,1.08826E+24,-1.89567E+24,2.98421E+24,-4.25555E+24,5.50718E+24,-6.47612E+24,6.92585E+24,-6.73866E+24,5.96485E+24,-4.80114E+24,3.51083E+24,-2.32914E+24,1.39919E+24,-7.59249E+23,3.70997E+23,-1.62613E+23,6.36312E+22,-2.20984E+22,6.76189E+21,-1.80652E+21,4.16561E+20,-8.16787E+19,1.33513E+19,-1.77019E+18,1.82885E+17,-1.38123E+16,6.78283E+14,-1.62532E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39646E+14,-5.27553E+15,9.74585E+16,-1.17275E+18,1.03314E+19,-7.10048E+19,3.96186E+20,-1.84415E+21,7.30284E+21,-2.4967E+22,7.4531E+22,-1.96007E+23,4.5735E+23,-9.52225E+23,1.77719E+24,-2.98421E+24,4.52152E+24,-6.19558E+24,7.69039E+24,-8.65731E+24,8.8445E+24,-8.20166E+24,6.90163E+24,-5.26625E+24,3.63928E+24,-2.27368E+24,1.28123E+24,-6.49244E+23,2.94736E+23,-1.19309E+23,4.28157E+22,-1.35238E+22,3.72594E+21,-8.85193E+20,1.78672E+20,-3.00405E+19,4.09357E+18,-4.34352E+17,3.36675E+16,-1.69571E+15,4.1649E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10326E+14,-1.14657E+16,2.06956E+17,-2.43091E+18,2.08838E+19,-1.3983E+20,7.59356E+20,-3.43663E+21,1.32178E+22,-4.38418E+22,1.26828E+23,-3.22835E+23,7.28172E+23,-1.46357E+24,2.63312E+24,-4.25555E+24,6.19558E+24,-8.14277E+24,9.67582E+24,-1.04053E+25,1.01315E+25,-8.93152E+24,7.12492E+24,-5.1378E+24,3.34365E+24,-1.95953E+24,1.03115E+24,-4.85448E+23,2.03526E+23,-7.55571E+22,2.4661E+22,-7.01353E+21,1.71832E+21,-3.57344E+20,6.1848E+19,-8.66873E+18,9.45355E+17,-7.52568E+16,3.89015E+15,-9.79975E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36984E+14,-2.29951E+16,4.05152E+17,-4.64083E+18,3.88418E+19,-2.53119E+20,1.33647E+21,-5.87458E+21,2.19209E+22,-7.046E+22,1.97288E+23,-4.85448E+23,1.05702E+24,-2.04798E+24,3.54629E+24,-5.50718E+24,7.69039E+24,-9.67582E+24,1.09834E+25,-1.12572E+25,1.04201E+25,-8.70824E+24,6.56497E+24,-4.4582E+24,2.72157E+24,-1.48944E+24,7.28172E+23,-3.16597E+23,1.21731E+23,-4.11017E+22,1.20789E+22,-3.05478E+21,6.55131E+20,-1.16824E+20,1.68559E+19,-1.89071E+18,1.54694E+17,-8.21254E+15,2.12328E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21027E+15,-4.26476E+16,7.32763E+17,-8.17721E+18,6.66102E+19,-4.22042E+20,2.16432E+21,-9.22985E+21,3.33758E+22,-1.03836E+23,2.81049E+23,-6.67594E+23,1.40125E+24,-2.61306E+24,4.34778E+24,-6.47612E+24,8.65731E+24,-1.04053E+25,1.12572E+25,-1.09685E+25,9.62489E+24,-7.60154E+24,5.39676E+24,-3.43778E+24,1.95979E+24,-9.96446E+23,4.499E+23,-1.79393E+23,6.27341E+22,-1.90719E+22,4.98412E+21,-1.10338E+21,2.02905E+20,-3.01631E+19,3.48289E+18,-2.93105E+17,1.59928E+16,-4.24656E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13238E+15,-7.32763E+16,1.22658E+18,-1.3322E+19,1.05511E+20,-6.49296E+20,3.23045E+21,-1.33503E+22,4.67261E+22,-1.40524E+23,3.67177E+23,-8.40751E+23,1.69849E+24,-3.04344E+24,4.85709E+24,-6.92585E+24,8.8445E+24,-1.01315E+25,1.04201E+25,-9.62489E+24,7.98162E+24,-5.93644E+24,3.95344E+24,-2.35175E+24,1.24556E+24,-5.84871E+23,2.4218E+23,-8.78278E+22,2.76542E+22,-7.47618E+21,1.71024E+21,-3.24648E+20,4.97691E+19,-5.92091E+18,5.12934E+17,-2.87871E+16,7.85614E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48935E+15,-1.16817E+17,1.90315E+18,-2.00973E+19,1.54594E+20,-9.22985E+20,4.45011E+21,-1.78004E+22,6.02248E+22,-1.74846E+23,4.40394E+23,-9.70564E+23,1.88404E+24,-3.23806E+24,4.94703E+24,-6.73866E+24,8.20166E+24,-8.93152E+24,8.70824E+24,-7.60154E+24,5.93644E+24,-4.1417E+24,2.57573E+24,-1.42349E+24,6.96274E+23,-2.99842E+23,1.12921E+23,-3.68723E+22,1.03242E+22,-2.4432E+21,4.79242E+20,-7.58387E+19,9.30428E+18,-8.30465E+17,4.79785E+16,-1.34677E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30988E+15,-1.73014E+17,2.74053E+18,-2.8108E+19,2.09769E+20,-1.21367E+21,5.66377E+21,-2.18999E+22,7.15279E+22,-2.00179E+23,4.85282E+23,-1.02766E+24,1.9134E+24,-3.14811E+24,4.59454E+24,-5.96485E+24,6.90163E+24,-7.12492E+24,6.56497E+24,-5.39676E+24,3.95344E+24,-2.57573E+24,1.4882E+24,-7.59572E+23,3.4073E+23,-1.33453E+23,4.52524E+22,-1.31399E+22,3.22058E+21,-6.53512E+20,1.06864E+20,-1.35335E+19,1.2457E+18,-7.41487E+16,2.14258E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52233E+15,-2.38307E+17,3.66627E+18,-3.64816E+19,2.6384E+20,-1.47751E+21,6.66519E+21,-2.48793E+22,7.83309E+22,-2.10992E+23,4.91488E+23,-9.98295E+23,1.77937E+24,-2.79668E+24,3.89012E+24,-4.80114E+24,5.26625E+24,-5.1378E+24,4.4582E+24,-3.43778E+24,2.35175E+24,-1.42349E+24,7.59572E+23,-3.55544E+23,1.45057E+23,-5.11549E+22,1.54252E+22,-3.9207E+21,8.23993E+20,-1.39387E+20,1.82408E+19,-1.73314E+18,1.06387E+17,-3.1673E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
